city,time,pm2_5,pm10,ozone
Bengaluru,2025-12-11 00:00:00,29.5,30.4,92
Bengaluru,2025-12-11 00:00:00,29.5,30.4,92
Bengaluru,2025-12-11 00:00:00,50.9,53.3,119
Bengaluru,2025-12-11 01:00:00,29.0,29.7,86
Bengaluru,2025-12-11 01:00:00,29.0,29.7,86
Bengaluru,2025-12-11 01:00:00,53.9,56.2,120
Bengaluru,2025-12-11 02:00:00,30.2,30.7,79
Bengaluru,2025-12-11 02:00:00,30.2,30.7,79
Bengaluru,2025-12-11 02:00:00,57.5,59.8,120
Bengaluru,2025-12-11 03:00:00,27.1,27.4,82
Bengaluru,2025-12-11 03:00:00,27.1,27.4,82
Bengaluru,2025-12-11 03:00:00,58.2,60.8,123
Bengaluru,2025-12-11 04:00:00,21.7,22.0,105
Bengaluru,2025-12-11 04:00:00,21.7,22.0,105
Bengaluru,2025-12-11 04:00:00,53.4,56.7,135
Bengaluru,2025-12-11 05:00:00,18.5,18.9,139
Bengaluru,2025-12-11 05:00:00,18.5,18.9,139
Bengaluru,2025-12-11 05:00:00,45.5,48.4,150
Bengaluru,2025-12-11 06:00:00,16.8,17.2,163
Bengaluru,2025-12-11 06:00:00,16.8,17.2,163
Bengaluru,2025-12-11 06:00:00,40.7,43.1,160
Bengaluru,2025-12-11 07:00:00,16.3,16.6,171
Bengaluru,2025-12-11 07:00:00,16.3,16.6,171
Bengaluru,2025-12-11 07:00:00,38.2,40.2,161
Bengaluru,2025-12-11 08:00:00,15.7,16.0,169
Bengaluru,2025-12-11 08:00:00,15.7,16.0,169
Bengaluru,2025-12-11 08:00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00,15.0,15.3,163
Bengaluru,2025-12-11 09:00:00,15.0,15.3,163
Bengaluru,2025-12-11 09:00:00,36.2,38.3,150
Bengaluru,2025-12-11 10:00:00,14.6,15.0,152
Bengaluru,2025-12-11 10:00:00,14.6,15.0,152
Bengaluru,2025-12-11 10:00:00,36.8,38.9,141
Bengaluru,2025-12-11 11:00:00,14.6,15.0,136
