city,time,hour,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_pm25,severity,risk
Bengaluru,2025-12-11 00:00:00+00:00,0,30.4,29.5,348.0,8.4,20.8,92.0,,Good,1327.5,High Risk
Bengaluru,2025-12-11 00:00:00+00:00,0,30.4,29.5,348.0,8.4,20.8,92.0,,Good,1327.5,High Risk
Bengaluru,2025-12-11 00:00:00+00:00,0,53.3,50.9,363.0,6.2,16.7,119.0,0.0,,1589.0,High Risk
Bengaluru,2025-12-11 00:00:00+00:00,0,53.3,50.9,363.0,6.2,16.7,119.0,0.0,,1589.0,High Risk
Bengaluru,2025-12-11 01:00:00+00:00,1,29.7,29.0,515.0,12.1,20.7,86.0,,Good,1653.3,High Risk
Bengaluru,2025-12-11 01:00:00+00:00,1,29.7,29.0,515.0,12.1,20.7,86.0,,Good,1653.3,High Risk
Bengaluru,2025-12-11 01:00:00+00:00,1,56.2,53.9,485.0,10.2,18.2,120.0,0.0,Moderate,1881.7,High Risk
Bengaluru,2025-12-11 01:00:00+00:00,1,56.2,53.9,485.0,10.2,18.2,120.0,0.0,Moderate,1881.7,High Risk
Bengaluru,2025-12-11 02:00:00+00:00,2,30.7,30.2,730.0,17.6,21.2,79.0,,Good,2095.3,High Risk
Bengaluru,2025-12-11 02:00:00+00:00,2,30.7,30.2,730.0,17.6,21.2,79.0,,Good,2095.3,High Risk
Bengaluru,2025-12-11 02:00:00+00:00,2,59.8,57.5,649.0,15.5,19.9,120.0,0.45,Moderate,2266.5,High Risk
Bengaluru,2025-12-11 02:00:00+00:00,2,59.8,57.5,649.0,15.5,19.9,120.0,0.45,Moderate,2266.5,High Risk
Bengaluru,2025-12-11 03:00:00+00:00,3,27.4,27.1,830.0,19.9,20.9,82.0,,Good,2286.9,High Risk
Bengaluru,2025-12-11 03:00:00+00:00,3,27.4,27.1,830.0,19.9,20.9,82.0,,Good,2286.9,High Risk
Bengaluru,2025-12-11 03:00:00+00:00,3,60.8,58.2,734.0,18.0,20.4,123.0,1.85,Moderate,2464.0,High Risk
Bengaluru,2025-12-11 03:00:00+00:00,3,60.8,58.2,734.0,18.0,20.4,123.0,1.85,Moderate,2464.0,High Risk
Bengaluru,2025-12-11 04:00:00+00:00,4,22.0,21.7,701.0,16.0,18.8,105.0,,Good,2030.7,High Risk
Bengaluru,2025-12-11 04:00:00+00:00,4,22.0,21.7,701.0,16.0,18.8,105.0,,Good,2030.7,High Risk
Bengaluru,2025-12-11 04:00:00+00:00,4,56.7,53.4,662.0,14.6,18.9,135.0,4.15,Moderate,2300.1,High Risk
Bengaluru,2025-12-11 04:00:00+00:00,4,56.7,53.4,662.0,14.6,18.9,135.0,4.15,Moderate,2300.1,High Risk
Bengaluru,2025-12-11 05:00:00+00:00,5,18.9,18.5,458.0,9.1,15.8,139.0,,Good,1581.8,High Risk
Bengaluru,2025-12-11 05:00:00+00:00,5,18.9,18.5,458.0,9.1,15.8,139.0,,Good,1581.8,High Risk
Bengaluru,2025-12-11 05:00:00+00:00,5,48.4,45.5,510.0,8.4,16.3,150.0,6.55,Good,1941.5,High Risk
Bengaluru,2025-12-11 05:00:00+00:00,5,48.4,45.5,510.0,8.4,16.3,150.0,6.55,Good,1941.5,High Risk
Bengaluru,2025-12-11 06:00:00+00:00,6,17.2,16.8,274.0,3.8,13.3,163.0,,Good,1241.0,High Risk
Bengaluru,2025-12-11 06:00:00+00:00,6,17.2,16.8,274.0,3.8,13.3,163.0,,Good,1241.0,High Risk
Bengaluru,2025-12-11 06:00:00+00:00,6,43.1,40.7,391.0,3.7,13.9,160.0,8.1,Good,1665.2,High Risk
Bengaluru,2025-12-11 06:00:00+00:00,6,43.1,40.7,391.0,3.7,13.9,160.0,8.1,Good,1665.2,High Risk
Bengaluru,2025-12-11 07:00:00+00:00,7,16.6,16.3,223.0,1.9,11.7,171.0,,Good,1144.7,High Risk
Bengaluru,2025-12-11 07:00:00+00:00,7,16.6,16.3,223.0,1.9,11.7,171.0,,Good,1144.7,High Risk
Bengaluru,2025-12-11 07:00:00+00:00,7,40.2,38.2,345.0,2.0,12.1,161.0,8.15,Good,1541.0,High Risk
Bengaluru,2025-12-11 07:00:00+00:00,7,40.2,38.2,345.0,2.0,12.1,161.0,8.15,Good,1541.0,High Risk
Bengaluru,2025-12-11 08:00:00+00:00,8,16.0,15.7,231.0,1.6,10.6,169.0,,Good,1144.3,High Risk
Bengaluru,2025-12-11 08:00:00+00:00,8,16.0,15.7,231.0,1.6,10.6,169.0,,Good,1144.3,High Risk
Bengaluru,2025-12-11 08:00:00+00:00,8,38.5,36.4,331.0,1.9,10.6,157.0,6.7,Good,1480.5,High Risk
Bengaluru,2025-12-11 08:00:00+00:00,8,38.5,36.4,331.0,1.9,10.6,157.0,6.7,Good,1480.5,High Risk
Bengaluru,2025-12-11 09:00:00+00:00,9,15.3,15.0,260.0,2.7,9.8,163.0,,Good,1179.9,High Risk
Bengaluru,2025-12-11 09:00:00+00:00,9,15.3,15.0,260.0,2.7,9.8,163.0,,Good,1179.9,High Risk
Bengaluru,2025-12-11 09:00:00+00:00,9,38.3,36.2,341.0,3.5,9.6,150.0,4.45,Good,1480.3,High Risk
Bengaluru,2025-12-11 09:00:00+00:00,9,38.3,36.2,341.0,3.5,9.6,150.0,4.45,Good,1480.3,High Risk
Bengaluru,2025-12-11 10:00:00+00:00,10,15.0,14.6,303.0,5.2,9.2,152.0,,Good,1237.6,High Risk
Bengaluru,2025-12-11 10:00:00+00:00,10,15.0,14.6,303.0,5.2,9.2,152.0,,Good,1237.6,High Risk
Bengaluru,2025-12-11 10:00:00+00:00,10,38.9,36.8,382.0,7.4,9.2,141.0,2.15,Good,1554.1,High Risk
Bengaluru,2025-12-11 10:00:00+00:00,10,38.9,36.8,382.0,7.4,9.2,141.0,2.15,Good,1554.1,High Risk
Bengaluru,2025-12-11 11:00:00+00:00,11,15.0,14.6,366.0,9.1,8.9,136.0,,Good,1330.0,High Risk
Bengaluru,2025-12-11 11:00:00+00:00,11,15.0,14.6,366.0,9.1,8.9,136.0,,Good,1330.0,High Risk
Bengaluru,2025-12-11 11:00:00+00:00,11,40.2,38.3,447.0,12.9,9.3,129.0,0.65,Good,1681.9,High Risk
Bengaluru,2025-12-11 11:00:00+00:00,11,40.2,38.3,447.0,12.9,9.3,129.0,0.65,Good,1681.9,High Risk
Bengaluru,2025-12-11 12:00:00+00:00,12,18.4,18.1,423.0,13.9,9.4,119.0,,Good,1441.9,High Risk
Bengaluru,2025-12-11 12:00:00+00:00,12,18.4,18.1,423.0,13.9,9.4,119.0,,Good,1441.9,High Risk
Bengaluru,2025-12-11 12:00:00+00:00,12,43.4,41.9,506.0,18.4,9.9,116.0,0.05,Good,1812.9,High Risk
Bengaluru,2025-12-11 12:00:00+00:00,12,43.4,41.9,506.0,18.4,9.9,116.0,0.05,Good,1812.9,High Risk
Bengaluru,2025-12-11 13:00:00+00:00,13,24.3,24.0,471.0,20.6,11.2,102.0,,Good,1568.1,High Risk
Bengaluru,2025-12-11 13:00:00+00:00,13,24.3,24.0,471.0,20.6,11.2,102.0,,Good,1568.1,High Risk
Bengaluru,2025-12-11 13:00:00+00:00,13,48.2,47.0,552.0,24.2,11.3,101.0,0.0,Good,1928.6,High Risk
Bengaluru,2025-12-11 13:00:00+00:00,13,48.2,47.0,552.0,24.2,11.3,101.0,0.0,Good,1928.6,High Risk
Bengaluru,2025-12-11 14:00:00+00:00,14,28.2,27.8,514.0,28.2,13.7,84.0,,Good,1671.2,High Risk
Bengaluru,2025-12-11 14:00:00+00:00,14,28.2,27.8,514.0,28.2,13.7,84.0,,Good,1671.2,High Risk
Bengaluru,2025-12-11 14:00:00+00:00,14,51.6,50.5,593.0,30.0,13.1,86.0,0.0,,2023.6999999999998,High Risk
Bengaluru,2025-12-11 14:00:00+00:00,14,51.6,50.5,593.0,30.0,13.1,86.0,0.0,,2023.6999999999998,High Risk
Bengaluru,2025-12-11 15:00:00+00:00,15,30.7,30.3,540.0,33.5,16.0,72.0,,Good,1737.6,High Risk
Bengaluru,2025-12-11 15:00:00+00:00,15,30.7,30.3,540.0,33.5,16.0,72.0,,Good,1737.6,High Risk
Bengaluru,2025-12-11 15:00:00+00:00,15,53.0,51.8,622.0,33.1,14.3,75.0,0.0,Moderate,2076.6,High Risk
Bengaluru,2025-12-11 15:00:00+00:00,15,53.0,51.8,622.0,33.1,14.3,75.0,0.0,Moderate,2076.6,High Risk
Bengaluru,2025-12-11 16:00:00+00:00,16,32.9,32.5,546.0,35.1,17.7,68.0,,Good,1768.4,High Risk
Bengaluru,2025-12-11 16:00:00+00:00,16,32.9,32.5,546.0,35.1,17.7,68.0,,Good,1768.4,High Risk
Bengaluru,2025-12-11 16:00:00+00:00,16,53.4,52.4,639.0,31.8,14.1,72.0,0.0,Moderate,2099.8,High Risk
Bengaluru,2025-12-11 16:00:00+00:00,16,53.4,52.4,639.0,31.8,14.1,72.0,0.0,Moderate,2099.8,High Risk
Bengaluru,2025-12-11 17:00:00+00:00,17,35.5,34.9,536.0,34.4,19.2,68.0,,Good,1771.4,High Risk
Bengaluru,2025-12-11 17:00:00+00:00,17,35.5,34.9,536.0,34.4,19.2,68.0,,Good,1771.4,High Risk
Bengaluru,2025-12-11 17:00:00+00:00,17,53.7,52.5,645.0,27.8,13.3,73.0,0.0,Moderate,2097.0,High Risk
Bengaluru,2025-12-11 17:00:00+00:00,17,53.7,52.5,645.0,27.8,13.3,73.0,0.0,Moderate,2097.0,High Risk
Bengaluru,2025-12-11 18:00:00+00:00,18,37.3,36.6,509.0,32.7,20.4,70.0,,Good,1735.3,High Risk
Bengaluru,2025-12-11 18:00:00+00:00,18,37.3,36.6,509.0,32.7,20.4,70.0,,Good,1735.3,High Risk
Bengaluru,2025-12-11 18:00:00+00:00,18,52.9,51.7,637.0,23.6,12.4,75.0,0.0,Moderate,2060.2,High Risk
Bengaluru,2025-12-11 18:00:00+00:00,18,52.9,51.7,637.0,23.6,12.4,75.0,0.0,Moderate,2060.2,High Risk
Bengaluru,2025-12-11 19:00:00+00:00,19,37.6,36.8,452.0,29.9,21.0,72.0,,Good,1620.4,High Risk
Bengaluru,2025-12-11 19:00:00+00:00,19,37.6,36.8,452.0,29.9,21.0,72.0,,Good,1620.4,High Risk
Bengaluru,2025-12-11 19:00:00+00:00,19,51.7,50.4,606.0,19.7,11.8,76.0,0.0,,1973.1,High Risk
Bengaluru,2025-12-11 19:00:00+00:00,19,51.7,50.4,606.0,19.7,11.8,76.0,0.0,,1973.1,High Risk
Bengaluru,2025-12-11 20:00:00+00:00,20,38.0,37.0,378.0,26.1,21.3,74.0,,Good,1466.6,High Risk
Bengaluru,2025-12-11 20:00:00+00:00,20,38.0,37.0,378.0,26.1,21.3,74.0,,Good,1466.6,High Risk
Bengaluru,2025-12-11 20:00:00+00:00,20,51.1,49.8,561.0,15.5,11.1,77.0,0.0,Good,1861.7,High Risk
Bengaluru,2025-12-11 20:00:00+00:00,20,51.1,49.8,561.0,15.5,11.1,77.0,0.0,Good,1861.7,High Risk
Bengaluru,2025-12-11 21:00:00+00:00,21,38.4,37.4,332.0,22.8,21.9,77.0,,Good,1376.0,High Risk
Bengaluru,2025-12-11 21:00:00+00:00,21,38.4,37.4,332.0,22.8,21.9,77.0,,Good,1376.0,High Risk
Bengaluru,2025-12-11 21:00:00+00:00,21,51.1,49.6,524.0,11.8,10.1,82.0,0.0,Good,1782.9,High Risk
Bengaluru,2025-12-11 21:00:00+00:00,21,51.1,49.6,524.0,11.8,10.1,82.0,0.0,Good,1782.9,High Risk
Bengaluru,2025-12-11 22:00:00+00:00,22,38.3,37.1,299.0,19.9,23.1,80.0,,Good,1310.4,High Risk
Bengaluru,2025-12-11 22:00:00+00:00,22,38.3,37.1,299.0,19.9,23.1,80.0,,Good,1310.4,High Risk
Bengaluru,2025-12-11 22:00:00+00:00,22,52.2,50.6,492.0,8.5,8.4,93.0,0.0,,1740.2,High Risk
Bengaluru,2025-12-11 22:00:00+00:00,22,52.2,50.6,492.0,8.5,8.4,93.0,0.0,,1740.2,High Risk
Bengaluru,2025-12-11 23:00:00+00:00,23,38.2,36.9,293.0,17.4,24.7,82.0,,Good,1299.5,High Risk
Bengaluru,2025-12-11 23:00:00+00:00,23,38.2,36.9,293.0,17.4,24.7,82.0,,Good,1299.5,High Risk
Bengaluru,2025-12-11 23:00:00+00:00,23,57.0,55.2,470.0,5.7,6.4,106.0,0.0,Moderate,1753.4,High Risk
